All,Све
"We partially received your Return request.","Wе партиаллy рецеивед yоур Повраћај реqуест."
"We partially approved your Return request.","Wе партиаллy аппровед yоур Повраћај реqуест."
"We partially rejected your Return request.","Wе партиаллy рејецтед yоур Повраћај реqуест."
"We closed your Return request.","Wе цлосед yоур Повраћај реqуест."
"We processed and closed your Return request.","Wе процессед анд цлосед yоур Повраћај реqуест."
"ID cannot be an empty","ИД не може бе ан емптy"
"Requested entity doesn't exist","Реqуестед ентитy не постоји"
"Could not save the RMA entity.","Није могао саве тхе РМА ентитy."
"Could not delete the RMA entity.","Није могао делете тхе РМА ентитy."
"Please enter a valid comment.","Молимо унесите а валид цоммент."
"No such entity with %1 = %2, %3 = %4","Не суцх ентитy wитх %1 = %2, %3 = %4"
"Invalid carrier: %1","Неисправан царриер: %1"
"No detail for number ""%1""","Нема детаља за број ""%1"""
"Shipment does not exists.","Пошиљка не постојис."
"Could not save the RMA tracking.","Није могао саве тхе РМА трацкинг."
"Could not delete the RMA tracking.","Није могао делете тхе РМА трацкинг."
"No detail for number ""' . . '""","Нема детаља за број ""' . . '"""
"All Items","Све Итемс"
"Account &amp; Shipping Information","Налог &амп; Достава Информације"
"Request Details","Захтев Детаљи"
"Customer Name","Купац Назив"
"Comment Text","Текст коментара"
"Customer Service","Кориснички сервис"
"Return Address","Повраћај Адреса"
"Order Shipping Address","Поруџбина Достава Адреса"
"Delete Line","Обриши Лине"
"Customs Value","Цустомс Вредност"
"Qty Ordered","Наручена количина"
"No authorized items or allowed shipping methods","Не аутхоризед итемс ор аллоwед схиппинг метходс"
"Create Shipping Label","Креирај Достава Лабел"
"Enabled when authorized items require a new shipment.","Омогућен wхен аутхоризед итемс реqуире а неw схипмент."
"Order &amp; Account Information","Поруџбина &амп; Налог Информације"
"Return Totals","Повраћај Тоталс"
"Return Confirmation","Повраћај Цонфирматион"
"Email Returns Confirmation","Е-пошта Повраћаји Цонфирматион"
"Please Select Products to Add","Плеасе Изабери Производи то Додај"
"Return items","Повраћај итемс"
"Quantity To Return","Количина То Повраћај"
"Remaining Quantity:","Ремаининг Количина:"
"New Return for Order %1","Ново Повраћај фор Поруџбина %1"
"Return Items Information","Повраћај Итемс Информације"
"Add Item To Return","Додај Итем То Повраћај"
"Return #","Повраћај #"
"Return Status","Повраћај Статус"
"View Return","Преглед Повраћај"
"Total Weight","Укупна тежина"
"Items in the Package","Предмети у пакету"
"Are you sure you want to delete this tracking information?","Да ли сте сигурни желите да делете тхис трацкинг информатион?"
"Request Information","Захтев Информације"
"Date Requested","Датум Реqуестед"
"Shipping and Tracking Information","Достава анд Трацкинг Информације"
